Common Name;Taxon id;Taxon
red fox;42069;Vulpes vulpes
gray wolf;42048;Canis lupus
snail;61523;Helix Pomatia
lizard;55990;Podarcis muralis
spider;67707;Argiope aurantia
turtle;39782;Trachemys scripta
hippopotamus;42149;Hippopotamus amphibius
mosquito;62984;Aedes albopictus
crocodile;26159;Alligator mississippiensis
oyster;47585;Crassostrea virginica
ant;129902;Camponotus pennsylvanicus
brown bear;41641;Ursus arctos
black bear;41638;Ursus americanus
chicken;882;Gallus gallus
beluga whale;41461;Delphinapterus leucas
humpback whale;41566;Megaptera novaeangliae
whale shark;52188;Rhincodon typus
dolphin;41482;Tursiops truncatus
eagle;5305;Haliaeetus leucocephalus
deer;42223;Odocoileus virginianus
parrot;19018;Ara ararauna
falcon;472766;Falco tinnunculus
snake;28362;Thamnophis sirtalis
penguin;4501;Alca torda
giraffe;42157;Giraffa camelopardalis
donkey;148030;Equus asinus
sheep;121578;Ovis aries
salamander;27726;Salamandra salamandra
wombat;43009;Vombatus ursinus
bee;47219;Apis mellifera
bat;40522;Lasiurus borealis
rabbit;43111;Sylvilagus floridanus
pig;324492;Sus scrofa ssp. Domesticus
goats;123070;Capra hircus
koala;42983;Phascolarctos cinereus
lion;41964;Panthera Leo
jaguar;41970;Panthera Onca
lynx;41979;Lynx lynx
sea lion;41763;Phocarctos hookeri
great white shark;50873;Carcharodon carcharias
dog;47144;Canis familiaris
elephant;43694;Loxodonta africana
cat;118552;Felix catus
owl;19893;Strix varia
squirrel;46001;Sciurus vulgaris
duck;6930;Anas platyrhynchos
frog;65982;Lithobates clamitans
ibis;3751;Eudocimus albus
dairy cow;74113;Bos taurus
horse;209233;Equus caballus
butterfly;60551;Papilio glaucus
orangutan;43582;Pongo pygmaeus
kangaroo;42888;Macropus giganteus
mouse;44705;Mus musculus
turkey;906;Meleagris gallopavo
baboon;74832;Papio anubis
moose;522193;Alces alces
komodo dragon;39449;Varanus komodoensis
antelope;42429;Antilocapra americana
ostrich;20526;Struthio camelus
bison;42408;Bison bison
water buffalo;81925;Bubalus bubalis
beaver;43794;Castor canadensis
hyena;41886;Crocuta crocuta
swan;6921;cygnus olor
flamingo;73222;Phoenicopterus roseus
hedgehog;43042;Erinaceus europaeus
raccoon;41663;Procyon lotor
heron;4956;Ardea herodias
sea otter;41860;Enhydra lutris
macaque;43459;Macaca Fascicularis
peafowl;1204;Pavo cristatus
pelican;4328;Pelecanus occidentalis
warthog;42122;Phacochoerus africanus
polecat;41812;Mustela putorius
killer whale;41521;Orcinus orca
wallaby;42973;Wallabia bicolor
hare;43128;Lepus europaeus
magpie;891696;Pica pica
sea turtle;39677;Dermochelys coriacea
tortoise;40085;Gopherus polyphemus
badger;855297;Meles meles
suricate;41943;Suricata suricatta
platypus;43236;Ornythorhynchus anatinus
mole;46970;Talpa Europaea
Bouquetin des Alpes;42357;Capra ibex
Marmotte commune;46095;Marmota monax
Chien de prairie;46179;Cynomys ludovicianus
porcepic;44026;Erethizon dorsatum
Ragondin;43997;Myocastor coypus
Polatouche;46146;Pteromys volans
Mouflon canadien;42391;Ovis canadensis
Ours polaire;41644;Ursus Maritimus
Coyote;42051;Canis latrans
Sarigue de Virginie;42652;Didelphis vrginiana
